Id Catalog;Artiste;Titre;Label;Format;Année de Sortie;Etat du Vinyle;Etat de la Pochette;Notes
520266-1;The Black Keys;Brothers;Nonesuch;2xLP, Album;2010;;;
2C 062-04.258;The Beatles;A Collection Of Beatles Oldies;Odeon;LP, Comp, RE;1971;;;
2C 064 04097;The Beatles;Revolver;Odeon;LP, Album, RE;1972;;;
75678626616;Burna Boy;Love, Damini;On A Spaceship, Bad Habit (4), Atlantic;2xLP, Album, S/Edition;2023;;;
825646982158;Coldplay;A Head Full Of Dreams;Parlophone;2xLP, Album, 180;2015;;;
6685120;Serge Gainsbourg;Marylou Reggae Dub;Philips;Box + 3xLP, Comp;1981;;;
SX 2830;Stevie Wonder;Characters;Polskie Nagrania Muza;LP, Album;1989;;;
2664323;The Who;The Best Of The Last Ten Years / '64 - '74;Polydor;2xLP, Comp, RE;;;;
535 113-8;Cream;Best Of Cream;Polydor;LP, Comp, RE, 180;2014;;;
2675142;Rainbow;On Stage;Polydor, Oyster;2xLP, Album, Gat;1977;;;
086482-2;Pomme;Les Failles Cachées;Polydor, Universal Music France;2xLP, Album, Gat;2020;;;
88985396711;Jefferson Airplane;Surrealistic Pillow;RCA Victor, RCA, Legacy, Sony Music;LP, Album, RE, RM, RP, 180;2017;;;
PL 25116 PL 2 5116;Vangelis;Spiral;RCA, RCA Victor;LP, Album, Gat;1977;;;
9362-49786-6;Neil Young;After The Gold Rush;Reprise Records;LP, Album, RE, RM, 180;2009;;;
9362-49869-3;Eric Clapton;Unplugged;Reprise Records, Duck Records (2);2xLP, Album, RE, 180;2011;;;
96113;Daniel Balavoine;Un Autre Monde;Riviera LM Recording System;LP, Album;1980;;;
COC 39108;The Rolling Stones;Some Girls;Rolling Stones Records;LP, Album, 2nd;1978;;;
2394295;Eric Clapton;Another Ticket;RSO;LP, Album;1981;;;
88985449561;Céline Dion;D'Eux;Sony Music;LP, Album, RE, 180;2017;;;
shake 017;Amiina;The Lighthouse Project;Sound Of A Handshake;"12"", EP";2013;;;
8122796578 8122-79657-8;Led Zeppelin;Physical Graffiti;Swan Song, Swan Song;2xLP, Album, RE, RM, 180;2015;;;
SD 507;Les Joyeux Fêtards;Ducasse Du Nord;System Disco;LP;1980;;;
SD 562;Les Joyeux Fêtards;Ducasse Du Nord Vol. 2;System Disco;LP;;;;
SX-T 121;ABBA;Live;Tonpress;LP, Album;1988;;;
240011 240011.GU;The Beatles And Tony Sheridan;The Beatles First;Triumph Records (3), Triumph Records (3);LP, Comp, RE;;;;
VER 341 58;The Byrds;Mr. Tambourine Man;Versailles;LP, Album, RE;1978;;;
6302057;Status Quo;Just Supposin'...;Vertigo;LP, Album, Bla;1980;;;
6359034;Dire Straits;Making Movies;Vertigo;LP, Album;1980;;;
814 287-1;Genesis;Genesis;Vertigo;LP, Album;1983;;;
824 499-1;Dire Straits;Brothers In Arms;Vertigo;LP, Album;1985;;;
9102014;Status Quo;Rockin' All Over The World;Vertigo;LP, Album;1977;;;
371 710-8602537171088;The Velvet Underground & Nico (3);The Velvet Underground & Nico;Verve Records, Verve Records;LP, Album, RE, RM, 45t;2012;;;
201915;Téléphone;Dure Limite;Virgin;LP, Album, Blu;1982;;;
602557048445;Queen;Greatest Hits II;Virgin EMI Records;2xLP, Comp, RE, RM, Gat;2016;;;
70609;Eric Serra;Le Grand Bleu (Bande Originale Du Film);Virgin, Gaumont Musique;LP, Album;1988;;;
4754998;The Kooks;Inside In / Inside Out;Virgin, Universal;LP;2016;;;
500760;Jacques Dutronc;Les Grands Succès De - Greatest Hits;Vogue;LP, Comp, RE;;;;
47984-1;Muse;Origin Of Symmetry;Warner Bros. Records;2xLP, Album, RE;2009;;;
48733-1;Muse;Absolution;Warner Bros. Records;2xLP, Album, RE, Gat;2009;;;
92-3774-1;ZZ Top;Eliminator;Warner Bros. Records;LP, Album;1983;;;
HS 3549;Kraftwerk;Computer World;Warner Bros. Records (2);LP, Album, RE, Unofficial, Yel;2005;;;
56051 56.151;Rod Stewart;Atlantic Crossing;Warner Bros. Records, Warner Bros. Records;LP, Album, M/Print, Gat;1975;;;
93624738619;Red Hot Chili Peppers;Californication;Warner Records;2xLP, Album, RE;2021;;;
93624814016;Red Hot Chili Peppers;By The Way;Warner Records;2xLP, Album, RE, RP;2020;;;
251 699-1 42 301 2;Phil Collins;No Jacket Required;WEA, WEA;LP, Album, Club, Tel;1985;;;
256 919-1 256919-1;Phil Collins;...But Seriously;WEA, WEA;LP, Album, Son;1989;;;
XLLP606 XL-606;Sigur RÃ³s;Kveikur;XL Recordings, XL Recordings;2xLP, Album;2013;;;
YT108;Jamie xx;Girl / Sleep Sound;Young Turks;"12"", Single";2014;;;
Ð’Ð¢Ð 11999;Madonna = Madonna;Like A Virgin;;LP, Album, Lab;1988;;;
